Date;Return_AMD;Return_SPY
1/11/2016;-1.9%;-0.7%
2/11/2016;-4.7%;-0.6%
3/11/2016;-0.9%;-0.5%
4/11/2016;-2.1%;-0.1%
7/11/2016;6.1%;2.2%
8/11/2016;0.6%;0.5%
9/11/2016;-0.9%;1.1%
10/11/2016;-9.2%;0.2%
11/11/2016;6.2%;-0.2%
14/11/2016;1.5%;0.1%
15/11/2016;2.7%;0.8%
16/11/2016;10.0%;-0.2%
17/11/2016;10.3%;0.5%
18/11/2016;3.0%;-0.2%
21/11/2016;2.6%;0.8%
22/11/2016;-2.8%;0.2%
23/11/2016;1.3%;0.1%
25/11/2016;-0.3%;0.4%
28/11/2016;0.7%;-0.5%
29/11/2016;1.1%;0.2%
30/11/2016;-0.2%;-0.2%
1/12/2016;-5.8%;-0.4%
2/12/2016;1.7%;0.1%
5/12/2016;1.8%;0.6%
6/12/2016;8.9%;0.3%
7/12/2016;1.2%;1.3%
8/12/2016;8.2%;0.2%
9/12/2016;0.0%;0.6%
12/12/2016;3.3%;-0.1%
13/12/2016;-1.3%;0.7%
14/12/2016;0.1%;-0.8%
15/12/2016;2.9%;0.4%
16/12/2016;-1.8%;-0.2%
19/12/2016;2.7%;0.2%
20/12/2016;5.1%;0.4%
21/12/2016;-0.3%;-0.3%
22/12/2016;1.1%;-0.2%
23/12/2016;-0.2%;0.1%
27/12/2016;4.2%;0.2%
28/12/2016;-4.3%;-0.8%
29/12/2016;0.3%;0.0%
30/12/2016;-2.2%;-0.4%
3/1/2017;0.8%;0.8%
4/1/2017;0.0%;0.6%
5/1/2017;-1.7%;-0.1%
6/1/2017;0.7%;0.4%
9/1/2017;1.5%;-0.3%
10/1/2017;-0.4%;0.0%
11/1/2017;-2.1%;0.3%
12/1/2017;-3.9%;-0.3%
13/1/2017;-1.7%;0.2%
17/1/2017;-7.2%;-0.4%
18/1/2017;0.6%;0.2%
19/1/2017;-1.1%;-0.4%
20/1/2017;-0.2%;0.4%
23/1/2017;1.6%;-0.3%
24/1/2017;5.3%;0.6%
25/1/2017;-0.9%;0.9%
26/1/2017;1.6%;-0.1%
27/1/2017;1.4%;-0.2%
30/1/2017;-0.6%;-0.6%
31/1/2017;-2.3%;0.0%
1/2/2017;16.3%;0.0%
2/2/2017;1.8%;0.1%
3/2/2017;-0.3%;0.7%
6/2/2017;11.4%;-0.2%
7/2/2017;-2.5%;0.0%
8/2/2017;2.0%;0.1%
9/2/2017;-1.0%;0.6%
10/2/2017;1.2%;0.4%
13/2/2017;-0.7%;0.5%
14/2/2017;-1.7%;0.4%
15/2/2017;0.3%;0.5%
16/2/2017;-2.5%;-0.1%
17/2/2017;1.2%;0.2%
21/2/2017;6.6%;0.6%
22/2/2017;2.0%;-0.1%
23/2/2017;0.3%;0.1%
24/2/2017;-1.4%;0.1%
27/2/2017;7.6%;0.2%
28/2/2017;-4.9%;-0.3%
1/3/2017;3.5%;1.4%
2/3/2017;-7.1%;-0.6%
3/3/2017;-6.3%;0.1%
6/3/2017;0.1%;-0.3%
7/3/2017;0.1%;-0.3%
8/3/2017;1.3%;-0.2%
9/3/2017;0.8%;0.1%
10/3/2017;4.4%;0.4%
13/3/2017;2.7%;0.1%
14/3/2017;-1.3%;-0.4%
15/3/2017;-0.9%;0.9%
16/3/2017;-2.4%;-0.2%
17/3/2017;-1.2%;-0.2%
20/3/2017;6.7%;-0.1%
21/3/2017;-4.0%;-1.3%
22/3/2017;2.0%;0.2%
