股指 震荡触底，不急于入场
股指期权 趋于企稳，仍需谨慎防御
国债 市场情绪延续偏弱，但或也不必过于悲观
黄金/白银 震荡为主
钢材 需求环比回升，期价震荡运行
铁矿 海外发运冲量，矿价震荡运行
焦炭 成本支撑较强，焦炭震荡运行
焦煤 供应预期收紧，焦煤支撑较强
动力煤 震荡为主
玻璃 现实需求好转，现货企稳回升
纯碱 需求有所回升，纯碱震荡运行
铜 下游节前逢低备货，沪铜相对抗跌
铝 海外流动性收紧与基本面利好交织，铝价区间内震荡走势
锌 美元指数抬升，锌价高位震荡
铅 短期节前备库需求起，长期偏弱格局不改
镍 美元指数走高压制，镍价如预期连续震荡回落
不锈钢 成交偏清淡库存压力或回归，沪不锈钢偏承压
锡 冶炼厂有所挺价，沪锡收窄跌幅
原油 延续下行
沥青 沥青期价跟随原油回落
燃料油 高硫燃油局部供应过剩终将过去
低硫燃料油 低硫燃油跟随原油下跌
LPG 震荡为主
甲醇 供需逐步承压但成本支撑偏强，甲醇宽幅震荡
尿素 供需仍偏宽松，尿素偏弱运行
乙二醇 油价下行，打压乙二醇价格
PTA 供应预期增加，基差存调整压力
短纤 原料价格下行，冲击短纤价格
PP 震荡为主
塑料 震荡为主
苯乙烯 供需预期偏承压，苯乙烯表现疲软
PVC 供需边际好转，PVC底部支撑尚存
橡胶 橡胶依旧偏强，01行情还未完结
纸浆 现货强势，期货难跌
棉花 收购价预期低引担忧，棉价走弱
白糖 经济衰退预期强，原糖郑糖齐跌
油脂 印尼或增加出口配额，棕油增仓破位下行领跌油脂板块
蛋白粕 基差环比走弱，多头或止盈离场
玉米/淀粉 宏观面压制，玉米期价承压下行
生猪 供应压力后置，猪价近强远弱
鸡蛋 国庆前现货反弹，期价震荡偏强
