广州

不锈钢 0  供应压力显著，价格存在回调压力

镍 -1  俄镍制裁扰动有限，镍价承压运行

玻璃 -0.7  产销再度走弱，短线震荡偏空

纯碱 0  轻碱产销较好，现货稳价期价窄幅震荡

工业硅 -0.7  库存压力依旧较大，盘面或将偏弱运行

铜 0  再通胀交易情绪未消退，铜价维持高位运行

铝 1  铝价快速上涨后出现回调，整体趋势维持看多态度

锌 0  锌价上行动力有限

黄金 0.8  IMF上调全球经济增长预期，沪金小幅反弹

白银 0.8  IMF上调全球经济增长预期，沪金小幅反弹

PP 0  市场多空因素共存，PE整体依旧强于PP

塑料 0  市场多空因素共存，PE整体依旧强于PP




华联

股指 -1  【股指】小盘股指IM或继续走弱。周二大盘小幅低开低走，小盘股大幅下跌带动大盘下行。四大指数方面，四大指数全线下跌，中小盘股指大幅下跌，其中上证50、沪深300、中证500和1000指数主力合约涨跌幅分别是-0.08%、-0.62%、-2.12%和-3.27%。经过管理层维稳市场后，非理性调整释放完毕，上半年低点已现。展望未来：1、证监会发布“两强两严”四项政策文件，政策部署彰显维护市场决心，制度改革推进资本市场高质量发展；此外，国务院关于加强监管防范风险推动资本市场高质量发展的若干意见为资本市场长期发展提供了基础。2、美联储在调高通胀以及GDP预测的情况下，降息中值仍在2-3次，表明降息立场依然没变；瑞士率先降息，全球或开启降息周期；不过3月美国CPI和核心CPI超过预期，短期美联储降息预期下降。3、北向资金和融资资券短期虽有所流出，但整体呈现大幅净流入，有业绩支撑个股板块仍有上涨动力。4、中证500指数的估值仍然比较低，估值仍在修复。5、3月PMI数据超预期和库存周期或进入主动补库，但新增贷款继续走弱，经济复苏不稳固。6、技术上，目前大盘进入到去年11月反弹高点的压力位，大盘震荡反复已有一个多月，短期大盘或面临方向选择，短期小盘股或继续走弱；综上所述，预计二季度震荡反复或调整后大盘再次震荡攀升，但上升空间有限，预计大盘3200-3300点压力较大。四大指数方面，IH/IF进入业绩分红集中期，指数或表现更坚挺；退市制度下，小盘股指IM或继续走弱，供参考。（段福林，
原油 0.5  【原油】油价高位震荡，库存预期有所增加昨晚国际油价表现震荡。消息面，白宫高级顾问JohnPodesta周二在一个行业会议上被问及未来战略石油储备(SPR)原油的释放时表示，美国总统拜登将尽其所能确保汽油价格在可以承受的水准。库存方面，美国原油库存上升，库存水平处于过去六年同期均值水平，但成品油库存已降至往年同期低位，美国炼厂原油加工量有所回落。需求端，美国原油需求小幅下降，中国原油加工需求同比增长。供应端OPEC+二季度延续减产，但美国页岩油增产至高位。基本面叠加地缘因素，油价短期强势，或偏强运行。操作上建议：回落买入，SC2406买入区间参考600至650。（黄秀仕，
